experiment_id,experiment_name,evaluation_context,input_object,configuration_object,feature_object,diagnostic_result,baseline_reference,claim_boundary_status,review_status,ml_readiness,public_safety_boundary,notes
exp_001,baseline_reproducibility_check,benchmark_governance,input_synth_001,config_default_001,feature_set_001,diagnostic_pending,baseline_none,review_required,draft,validation_candidate,public_safe_synthetic,"Initial registry row for reproducibility and evaluation-readiness tracking"
exp_002,input_traceability_check,evidence_governance,input_synth_002,config_trace_001,feature_set_002,diagnostic_pending,baseline_exp_001,review_required,draft,validation_candidate,public_safe_synthetic,"Tests whether inputs can be traced to documented source objects"
exp_003,configuration_sensitivity_review,evaluation_science,input_synth_003,config_variant_001,feature_set_003,diagnostic_pending,baseline_exp_001,review_required,draft,feature_candidate,public_safe_synthetic,"Tracks whether configuration changes alter evaluation interpretation"
exp_004,feature_object_consistency_check,evaluation_science,input_synth_004,config_default_001,feature_set_004,diagnostic_pending,baseline_exp_001,review_required,draft,feature_candidate,public_safe_synthetic,"Checks feature-object consistency across runs"
exp_005,diagnostic_output_review,benchmark_governance,input_synth_005,config_default_002,feature_set_005,diagnostic_pending,baseline_exp_001,review_required,draft,validation_candidate,public_safe_synthetic,"Placeholder row for diagnostic-result review"
exp_006,baseline_comparison_trial,evaluation_science,input_synth_006,config_compare_001,feature_set_006,diagnostic_pending,baseline_exp_001,review_required,draft,evaluation_candidate,public_safe_synthetic,"Prepares baseline comparison table generation"
exp_007,claim_boundary_completeness_check,claim_governance,input_synth_007,config_claim_001,feature_set_007,diagnostic_pending,baseline_exp_001,review_required,draft,validation_candidate,public_safe_synthetic,"Tests supported and unsupported claim coverage"
exp_008,overclaim_flag_review,claim_governance,input_synth_008,config_claim_002,feature_set_008,diagnostic_pending,baseline_exp_007,review_required,draft,validation_candidate,public_safe_synthetic,"Tracks overclaim-risk flags and release readiness"
exp_009,release_readiness_trial,evidence_release,input_synth_009,config_release_001,feature_set_009,diagnostic_pending,baseline_exp_007,review_required,draft,evaluation_candidate,public_safe_synthetic,"Prepares release-readiness review outputs"
exp_010,evaluation_quality_summary_trial,evaluation_quality,input_synth_010,config_summary_001,feature_set_010,diagnostic_pending,baseline_exp_001,review_required,draft,evaluation_candidate,public_safe_synthetic,"Roll-up registry row for future evaluation-quality report"
